country,location,reef,geomorphology,year,n_sets,n_rayspp,ray_maxn,SE_rays,Ham_maxn,SE_Ham,Uja_maxn,SE_Uja,Ana_maxn,SE_Ana,Ssc_maxn,SE_Ssc,shark_maxn,SE_sharks,apex_maxn,SE_apex,reef_maxn,SE_reef,bait,temp,relief,vis,depth,gravity,reef_protection_status,compliance,shark_fishing,ray_fishing,rays_landed,bottom_gear
Colombia,Old Providence Island,Old Providence Island,high island,2018,36,2,0.166666667,0.062994079,0.111111111,0.053121272,0.055555556,0.038718447,0,0,0,0,0.888888889,0.17718154,0.083333333,0.046717659,0.805555556,0.17736808,bonito,27.5,1.1,9.3,11.9,289.4,mpa,low,closed,restricted,yes,no
Cuba,Guanahacabibes,Guanahacabibes,high island,2017,50,3,0.06,0.033926692,0.02,0.02,0.02,0.02,0,0,0.02,0.02,1.78,0.174472967,0,0,1.74,0.180271903,bonito,28.9,3,9.2,17.5,67.1,mpa,medium,restricted,restricted,yes,no
Cuba,Guanahacabibes,Maria la Gorda,high island,2017,56,2,0.053571429,0.030361917,0.035714286,0.02502318,0,0,0,0,0.017857143,0.017857143,0.285714286,0.094368323,0,0,0.285714286,0.094368323,bonito,27.7,3.1,9.5,19.3,70.8,mpa,medium,restricted,restricted,yes,no
Cuba,Isla de la Juventud,Punta Frances North,high island,2016,52,3,0.134615385,0.047793281,0.057692308,0.032649026,0.019230769,0.019230769,0,0,0.019230769,0.019230769,0.038461538,0.026928463,0,0,0.038461538,0.026928463,bonito,27,2.8,8.8,14.8,46.6,reserve,medium,closed,closed,yes,yes
Cuba,Isla de la Juventud,Punta Frances South,high island,2016,56,1,0.035714286,0.02502318,0,0,0,0,0,0,0,0,0.017857143,0.017857143,0,0,0.017857143,0.017857143,bonito,27,3.4,9,20.2,100,reserve,medium,closed,closed,yes,yes
Cuba,Jardines de la Reina,Jardines de la Reina,high island,2018,60,2,0.083333333,0.035982314,0.066666667,0.03247482,0,0,0.016666667,0.016666667,0,0,0.816666667,0.087306418,0,0,0.766666667,0.08690103,sardines,28.2,2.7,8.7,24.5,33.6,mpa,high,closed,closed,yes,no
Dominican Republic,Bayahibe,Bayahibe ,high island,2017,39,3,0.769230769,0.16206136,0.333333333,0.092450033,0.282051282,0.096837426,0.025641026,0.025641026,0,0,0,0,0,0,0,0,sardines,29.9,0.5,8,13.9,249.2,none,na,restricted,open,yes,yes
Dominican Republic,Boca Chica,Boca Chica,high island,2017,43,2,0.162790698,0.056964878,0.046511628,0.032494797,0.093023256,0.044819726,0,0,0,0,0,0,0,0,0,0,sardines,28.5,0.6,8.1,12,2662.5,none,na,open,open,yes,yes
Dominican Republic,Santo Domingo,La Caleta,high island,2017,43,2,0.139534884,0.062977042,0.046511628,0.046511628,0.069767442,0.0393095,0,0,0,0,0.023255814,0.023255814,0,0,0.023255814,0.023255814,sardines,29.2,2.3,9.7,20.9,2962,mpa,medium,restricted,restricted,yes,yes
Dutch Caribbean,Bonaire,North Coast,high island,2016,29,2,0.137931034,0.107869401,0.034482759,0.034482759,0,0,0.103448276,0.103448276,0,0,0.413793103,0.116573001,0.034482759,0.034482759,0.379310345,0.115474957,sardines,29.2,2.7,8.9,28.5,50.8,mpa,high,closed,closed,no,no
French West Indies,Martinique,Martinique Reef 1,high island,2016,42,3,0.214285714,0.087125434,0.142857143,0.054649433,0,0,0.047619048,0.047619048,0,0,0,0,0,0,0,0,sardines,28.8,3,8.6,13.7,226.9,none,na,restricted,open,yes,yes
French West Indies,Martinique,Martinique Reef 2,high island,2016,46,1,0.152173913,0.061913071,0.130434783,0.059047967,0,0,0,0,0,0,0,0,0,0,0,0,sardines,29.7,3.1,8.5,15,138,none,na,restricted,open,yes,yes
Jamaica,Jamaica,Dragon Point,high island,2016,25,2,0.12,0.087939373,0.08,0.055377492,0,0,0.04,0.04,0,0,0,0,0,0,0,0,sardines,27.7,1.5,8.6,17.5,326.9,none,na,restricted,restricted,yes,yes
Jamaica,Jamaica,East Portland,high island,2016,36,4,0.444444444,0.115775127,0.083333333,0.061399033,0.277777778,0.07570946,0.027777778,0.027777778,0,0,0,0,0,0,0,0,sardines,29.6,1.7,8.8,17.3,329.9,none,na,restricted,open,yes,yes
Jamaica,Jamaica,Negril,high island,2016,35,4,0.342857143,0.099939958,0.028571429,0.028571429,0.257142857,0.074954968,0.028571429,0.028571429,0,0,0,0,0,0,0,0,mackerel,28.4,1.5,6.9,10.2,527.7,mpa,low,restricted,restricted,yes,yes
Jamaica,Jamaica,Ocho Rios,high island,2017,42,3,0.285714286,0.077475164,0.214285714,0.06408214,0.023809524,0.023809524,0.023809524,0.023809524,0,0,0,0,0,0,0,0,mackerel,28.5,1.2,8.7,14,399,none,na,restricted,open,yes,yes
Jamaica,Pedro Bank,Pedro Bank,low island,2017,50,4,0.46,0.081865993,0.08,0.038756171,0.32,0.06663945,0.04,0.027994168,0,0,0.78,0.115316778,0.02,0.02,0.72,0.117941528,mackerel,28.8,3.1,8.2,12.2,15.6,none,na,restricted,open,yes,yes
Mexico,Quintana Roo,Mahahual,continental,2021,49,2,0.163265306,0.053348256,0.142857143,0.050507627,0,0,0,0,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,sardines,29.6,2,15.9,21.5,20,mpa,low,closed,restricted,yes,yes
Puerto Rico,Bajo de Sico,Bajo de Sico,high island,2017,47,1,0.191489362,0.065503796,0.191489362,0.065503796,0,0,0,0,0,0,0.659574468,0.106567832,0,0,0.617021277,0.107761649,sardines,26.7,1.2,8.2,16.7,332.8,none,na,restricted,restricted,yes,no
Puerto Rico,La Parguera,La Parguera,high island,2017,38,2,0.368421053,0.095570851,0.289473684,0.083554522,0,0,0.052631579,0.036709781,0,0,0.078947368,0.058204268,0,0,0.078947368,0.058204268,sardines,29.4,1.5,6.5,10.8,323.8,none,na,open,open,yes,no
Trinidad & Tobago,Tobago,Atlantic,high island,2016,50,2,0.24,0.073178563,0.16,0.052372294,0,0,0.02,0.02,0,0,0.14,0.057214241,0.02,0.02,0.1,0.042857143,mix,27.9,1.2,4.8,21.7,57.7,none,na,restricted,restricted,yes,yes
Trinidad & Tobago,Tobago,Buccoo,high island,2016,29,1,0.172413793,0.071386092,0.172413793,0.071386092,0,0,0,0,0,0,0.344827586,0.159091185,0,0,0.344827586,0.159091185,mix,28.1,1.4,5.2,18,78,reserve,low,closed,closed,yes,no
Trinidad & Tobago,Tobago,Canoe Bay,high island,2016,38,1,0.552631579,0.111228549,0.5,0.111564587,0,0,0,0,0,0,0.236842105,0.11584442,0,0,0.236842105,0.11584442,mix,27,0.5,5.2,9,76.9,none,na,restricted,restricted,yes,no
Trinidad & Tobago,Tobago,Caribbean,high island,2018,41,1,0.243902439,0.076353541,0.243902439,0.076353541,0,0,0,0,0,0,0.268292683,0.070055642,0.024390244,0.024390244,0.243902439,0.067899565,bonito,26.5,1.9,3.8,28.3,69,none,na,restricted,restricted,yes,yes
Trinidad & Tobago,Tobago,Charlotteville,high island,2016,24,2,0.166666667,0.098294637,0.083333333,0.05763034,0,0,0.041666667,0.041666667,0,0,0.125,0.068959661,0,0,0.125,0.068959661,mix,26.9,1.1,6.8,26.9,27.5,none,na,restricted,restricted,yes,yes
Trinidad & Tobago,Tobago,Sisters,high island,2016,49,1,0.12244898,0.055578689,0.12244898,0.055578689,0,0,0,0,0,0,0.224489796,0.066912638,0.06122449,0.034603724,0.081632653,0.049114044,mix,26.4,0.6,6.1,25.6,101.2,none,na,restricted,restricted,yes,yes
Turks and Caicos,South Caicos,Reserve,low island,2016,44,2,0.181818182,0.058817876,0.136363636,0.052333589,0,0,0.022727273,0.022727273,0,0,0.886363636,0.138764973,0,0,0.886363636,0.138764973,barracuda,27.8,0.6,9.6,13.6,61.7,reserve,medium,closed,closed,no,yes
United States ,Florida,Keys Tip 1,continental,2017,27,1,0.148148148,0.087765936,0,0,0.148148148,0.087765936,0,0,0,0,0.37037037,0.094705243,0,0,0.37037037,0.094705243,menhaden,28,1.6,8.7,11,124.5,mpa,medium,restricted,restricted,yes,no
United States ,Florida,Lower Keys 1,continental,2016,44,1,0.136363636,0.052333589,0,0,0.136363636,0.052333589,0,0,0,0,0.25,0.092675752,0.022727273,0.022727273,0.227272727,0.091172979,menhaden,29.8,0.7,6,10.1,87.9,mpa,medium,restricted,restricted,yes,no
United States ,Florida,Miami-Dade 1,continental,2019,38,1,0.184210526,0.063730219,0,0,0.184210526,0.063730219,0,0,0,0,0.210526316,0.067022583,0.026315789,0.026315789,0.184210526,0.063730219,menhaden,26.3,0.4,7.2,10.7,13699.5,none,na,restricted,restricted,yes,no
United States ,Florida,Middle Keys 1,continental,2016,52,3,0.423076923,0.079336207,0.057692308,0.032649026,0.346153846,0.066617339,0,0,0,0,0.25,0.060633906,0.019230769,0.019230769,0.153846154,0.050522275,menhaden,29.2,0.7,6,10.7,171.9,mpa,medium,restricted,restricted,yes,no
United States ,Florida,Upper Keys 1,continental,2016,35,3,0.171428571,0.076539815,0.028571429,0.028571429,0.028571429,0.028571429,0.085714286,0.063131563,0,0,0.228571429,0.072014404,0,0,0.2,0.068599434,menhaden,28.5,0.5,8.1,10.7,258.1,mpa,medium,restricted,restricted,yes,no
